2026-08-31 23:40:45 | INFO    | Run=author_bn_no_outer_skip_full_bs16_lr1e-3_20260831_234036 | model=reduced_bn_no_outer_skip | version=1.7.0 | commit=b12b8be13de4fc76790fa2c2d59c57df81597d98 | device=cuda | parameters=39,121,665 | train/val=80,531/3,383 | checkpoints=/data_ssd/oyys/autophasenn/autophasenn_pipeline_output/high_strain_cnn/author_bn_no_outer_skip_full_bs16_lr1e-3_20260831_234036
2026-08-31 23:40:45 | INFO    | Data=author_npz | workers=4 | prefetch/worker=2 | fixed stored observations | precision=float32
2026-08-31 23:40:45 | INFO    | Author splits | original={'train': 80531, 'val': 3383, 'test': 2524} | eligible={'train': 80531, 'val': 3383, 'test': 2524} | excluded={'train': 0, 'val': 0, 'test': 0} | min oversampling (exclusive)=None
2026-09-01 00:37:15 | INFO    | VAL | epoch=001/030 | batch=00212/00212 | loss=8.864195e-01 | stage_elapsed=00:01:08 | stage_eta=00:00:00 | data_wait=3.64s
2026-09-01 00:37:16 | INFO    | Epoch 001 complete | train=7.437507e-01 | val=8.205398e-01 | best=8.205398e-01 | lr=1.000e-03 | epoch_time=00:56:30 | run_elapsed=00:56:30 | eta=1d 03:18:44 | finish=2026-09-02 03:55:59 CST
2026-09-01 00:37:49 | INFO    | TRAIN | epoch=002/030 | batch=00050/05033 | loss=6.594705e-01 | stage_elapsed=00:00:33 | stage_eta=00:55:03 | data_wait=0.50s
2026-09-01 00:38:23 | INFO    | TRAIN | epoch=002/030 | batch=00100/05033 | loss=6.607487e-01 | stage_elapsed=00:01:08 | stage_eta=00:55:42 | data_wait=0.51s
2026-09-01 00:38:56 | INFO    | TRAIN | epoch=002/030 | batch=00150/05033 | loss=6.594328e-01 | stage_elapsed=00:01:41 | stage_eta=00:54:33 | data_wait=0.53s
2026-09-01 00:39:28 | INFO    | TRAIN | epoch=002/030 | batch=00200/05033 | loss=6.509193e-01 | stage_elapsed=00:02:12 | stage_eta=00:53:19 | data_wait=0.54s
2026-09-01 00:40:00 | INFO    | TRAIN | epoch=002/030 | batch=00250/05033 | loss=6.694283e-01 | stage_elapsed=00:02:45 | stage_eta=00:52:32 | data_wait=0.55s
2026-09-01 00:40:32 | INFO    | TRAIN | epoch=002/030 | batch=00300/05033 | loss=6.343184e-01 | stage_elapsed=00:03:17 | stage_eta=00:51:42 | data_wait=0.57s
2026-09-01 00:41:06 | INFO    | TRAIN | epoch=002/030 | batch=00350/05033 | loss=7.269270e-01 | stage_elapsed=00:03:51 | stage_eta=00:51:26 | data_wait=0.58s
2026-09-01 00:41:39 | INFO    | TRAIN | epoch=002/030 | batch=00400/05033 | loss=6.410366e-01 | stage_elapsed=00:04:23 | stage_eta=00:50:47 | data_wait=0.59s
